遗传多样性分析	利用24对微卫星分子标记对半滑舌鳎yno lossus semilaevis的养殖群体和减数分裂雌核发育群体进行遗传多样性分析.结果表明,两个半滑舌鳎群体平均等位基因数分别为7.0和4.8,平均有效等位基因数分别为3.935和2.411,平均观测杂合度(Ho)分别为0.713 5和0.586 5,养殖群体的遗传多样性明显高于减数分裂雌核发育群体.有1个位点在养殖群体中偏离哈代-温伯格平衡,13个位点在减数分裂雌核发育群体中偏离哈代-温伯格平衡.群体间基因分化系数(GST)为0.093 6,遗传距离为0.420 0,表明两群体间遗传分化显著.	半滑舌鳎_养殖群体_微卫星标记_减数分裂雌核发育群体_遗传多样性	水产	农学
直齿轮轮齿变形计算的数值积分法	对基于Weber能量法的数值积分公式进行了详细推导,编制了计算程序,得到了数值计算结果,将结果与有限元计算结果进行比较,得到了数值积分法具有计算精度好、编程简单的结论.	Weber能量法_变形_数值计算	机械工程	工学
园林景观建设中色彩艺术的运用分析	打造高质量的园林景观，色彩的运用起着非常重要的作用，它是造景的重要手段，可以使园林景物的美全面充分的展现出来，使园林富有丰富多彩的时代气息，进而达到提高人们生活水平，美化社会环境的目的。本文将结合色彩在园林景观建设中的作用，论述如何合理的利用园林的色彩艺术，创造最佳的园林艺术景观。	园林景观_色彩艺术_运用	园艺学	农学
马钢2500m3高炉提高煤气利用率的措施	马钢2500m3高炉结合自身的原燃料条件及设计炉型,通过采取中心加焦、烧结矿分级入炉、提高煤粉燃烧率等措施,保持了较高的煤气利用率,实现了高产低耗.	高炉_煤气利用率_操作	冶金工程	工学
腰背肌锻炼对早期腰椎间盘突出症的干预作用	目的 观察腰背肌锻炼方法对早期腰椎间盘突出症的临床疗效.方法 选取早期腰椎间盘突出症患者100例,对遵从医嘱认真完成腰背肌锻炼的患者(治疗组)50例和未能遵从医嘱进行腰背肌锻炼的患者(对照组)50例进行回顾件比较分析.结果 治疗组治愈15例,有效31例,无效4例,总有效率92.00%;对照组治愈10例,有效27例,无效13例,总有效率74.00%,两组疗效差异有显著性.结论 腰背肌锻炼治疗早期腰椎间盘突出症疗效显著.	早期腰椎间盘突出症_腰背肌锻炼	中医学/中药学	医学
随机海浪过程模拟的随机函数方法	在平稳随机过程模拟的谱表示与正交展开两种经典方法中，通过引入标准正交随机变量的随机函数表达形式，均可实现用一个基本随机变量模拟原随机过程。在此两种模拟方法中，通过选择基本随机变量的离散代表点集来生成随机过程的样本函数集合，进而实现从样本函数集合的角度研究随机过程。应用谱表示随机函数与正交展开随机函数对海浪过程模拟分析，均获得较理想结果，并对此两种模拟方法的优缺点进行对比分析。	随机海浪_模拟_谱表示_正交展开_随机函数	力学	工学
粒子输运蒙特卡罗模拟现状概述	蒙特卡罗(MC)方法发展已有60多年历史,广泛应用于核科学及相关领域.MC方法超强的几何处理能力,使用精密的连续点截面参数,能够模拟各种复杂几何系统内的中子、光子、电子、α粒子、质子及其耦合输运问题.随着计算机的快速发展,通过大规模并行计算,MC方法及程序已成为模拟各种粒子输运问题的首选工具.	蒙特卡罗_复杂几何_粒子输运_并行计算_首选工具	物理学	理学
从东海石油地质工作的重要进展看西太平洋大陆边缘新生代盆地的构造演化--一种海沟向洋后退的残余弧后盆地	中国所在的亚洲,是全球地质结构最复杂的一个洲.这里不仅有若干小地块与巍峨造山带形成的镶嵌组合,还有以沟、弧、盆并行发育的长达近20 000 km的现代大陆边缘.中国地质学家,以黄汲清、朱夏院士作代表,先后以"多旋回"、"3个构造域"(古亚洲、滨太平洋及特提斯-喜马拉雅)和"东西两条锋线"等简明的概括,对中国地质构造以大陆内部为主的内涵,进行了深邃的阐述.在他们的影响之下,力图以简介东海石油地质进展为契机,在"海沟向洋后退和残余弧后盆地"思想下,对西太平洋大陆边缘的构造演化及盆地发生规律,作一个尝试性的探讨,并以此来纪念黄汲清院士诞辰100周年.	大陆边缘_A型及B型俯冲_岛弧向洋后退_残余弧后盆地	石油与天然气工程	工学
学术共同体内外的权力博弈与同行评议制度	在学术活动过程中,学者通常要面对来自个体的自主探究权力、源于学术共同体内部的集体权力(如专业或学科的权力)以及来自外部政府和机构的行政权力等相互问的冲突.在这三种基本的权力博弈中,同行评议似乎因其更能体现学术活动的内在逻辑而获得制度优势.但是,由于学术系统内部存在一个等级结构,少数精荚往往主宰了学术认可和资源分配的过程.因此,它与其说是最优的路径选择,毋宁说是权宜之计.一个可供考虑的路径选择未必是废弃同行评议制度,而是如何在其制度设计中体现三种权力阊结构性的平衡.	同行评议_学术共同体_博弈	教育学	教育学
中山市婴幼儿喘息相关危险因素分析	目的：分析婴幼儿喘息相关危险因素。方法采用多中心、大样本病例对照研究方法，以问卷访查的形式收集资料，先进行单因素分析，再以多因素逐步Logistic回归分析婴幼儿喘息发生的独立危险因素。结果单因素分析婴幼儿喘息发生的危险因素与父母过敏史、生产方式、呼吸道合胞病毒感染、肺炎支原体感染、个人过敏史、爱哭、父母常闹矛盾、临近马路、周围工厂共9个因素有关，差异有统计学意义（P<0.05），而与其余22个因素无关。Logistic回归分析发现，父母过敏史（OR=3.441，95%CI：1.914~6.186，P<0.001）、呼吸道合胞病毒感染（OR=2.910，95%CI：1.793~4.723，P<0.001）、肺炎支原体感染（OR=2.277，95%CI：1.110~4.667，P=0.025）、临近马路（OR=2.036，95%CI：1.280~3.239，P=0.003）、爱哭（OR=1.521，95%CI：1.049~2.206，P=0.027）是婴幼儿喘息发作的独立危险因素。结论婴幼儿喘息发生与父母过敏史、呼吸道合胞病毒感染、肺炎支原体感染、临近马路、爱哭、个人过敏史等9个因素有关，而前5者为其独立危险因素。	喘息_危险因素_调查问卷_婴幼儿	基础医学/临床医学	医学
数字遥感图像解译分类方法研究	遥感技术的发展,使人类能够获得非常丰富的知识,扩大人们观察大自然的视野.但面临的问题是如何处理大量的数据,使之成为有用的信息.随着卫星遥感数据获取方法的飞跃发展,传统的遥感图像分类方法不但导致分类精度降低,而且会造成空间数据大量冗余浪费资源.因此,提出了一种利用基于密度和自适应密度可达聚类算法(CADD)的数字遥感图像分类方法.理论分析和实验结果证明这种方法能够有效地对遥感图像进行分类.	数字遥感图像_增量聚类_分类	矿业工程	工学
牛与伞	 牛有淳朴憨厚、踏实肯干、吃苦耐劳、任劳任怨、无私奉献的精神.牛的这种精神品质,对于"全心全意为人民服务"的党的各级领导干部来说,也是应当具备和值得学习的.作为党的领导干部,应当俯下身去是头牛,为群众办实事;站起身来是把伞,为群众遮风挡雨.	领导干部_为人民服务_无私奉献_群众_精神品质_办实事_学习_风挡	公共管理	管理学
半潜式钻井平台用钢DH36安定行为试验研究	为了给半潜式钻井平台的安全性和寿命评价提供可靠试验依据，在室温下对半潜式钻井平台用钢DH36钢进行了考虑加载波形、加载速率和应力比影响的多工况单轴棘轮安定试验。结果表明：循环硬化速率随循环周次的增加快速下降，在低于某一值的循环应力作用下，应变将最终趋于棘轮饱和状态；正弦应力波比三角波更快地趋于安定，采用较低的加载速率可以加速材料趋向饱和棘轮状态；峰值应力固定不变时，棘轮应变对应力比历史无明显的记忆性；波形和加载速率对饱和棘轮应变的影响有限，饱和棘轮应变随着应力峰值的增加而增大。	半潜式钻井平台_DH36钢_棘轮安定_加载波形_加载速率_应力比	船舶与海洋工程	工学
河南省强对流天气诊断分析预报系统	强对流颅报是天气预报的难点,为了提高预报强对流、特别是预报区域件强对流天气的预报能力,应用河南省1995-2004年的气象观测资料作分析样本,并计算多个大气动力和热力学参数.经过统计分析、诊断分析,选择预报能力强、指示性好的大气动力或热力学参数作为强对流天气的预报因子,采用加权集成建立预报方程.应用计算机技术自动实现从数据采集、物理参数计算、预报因子临界值判别、诊断预报方程运算,到以MICAPS图形方式输出预报结果,建立了河南省区域强对流天气预报系统.该系统为预报员提供了一种科学客观的参考依据,在近两年的业务运行中取得了比较理想的预报效果,提升了河南省强对流天气的预报能力.	强对流_动力参数_热力参数_诊断分析_预报系统	大气科学	理学
加筋土挡墙动力特性模型试验与动力分析	模拟加筋土挡墙的铁路路基,通过动力荷载作用下的模型试验得出了加筋土挡墙为路基的动态响应特性,水平、竖向加速度和位移均值随挡墙高度的变化规律;得出了竖向、水平累计变形规律,并对加筋土的动力失稳、动变形、动强度和动应力一应变关系进行了深入分析.对加筋土工程具有重要意义.	加筋土挡墙_动力特性_模型试验_动力分析	土木工程	工学
关于建设新型东北内蒙古国有林区社会发展模式的探讨	东北内蒙古国有林区社会发展存在许多问题需要解决,本文从此出发分析了林区社会重构的现有模式,提出了推进城市化进行林区社会重构的模式,并对实施策略进行了探讨.	东北内蒙古国有林区_社会重构_探讨	应用经济学	经济学
基于ZigBee的空中下载技术的分析及优化	ZigBee联盟为OTA制定了标准，其更新簇为无线升级一个ZigBee设备的固件提供了一个标准机制。Zstack协议栈仅提供了镜像块请求方法，更新速度并不理想。在研究OTA实现过程的基础上，设计出了一种高效的镜像页请求方法，能够提高更新效率，并减少网络流量。	ZigBee_空中下载_页请求	电子科学与技术	工学
金红杨的高效育苗管理技术	从种条选择与贮藏、苗圃选择与整理、扦插育苗、土肥水管理、病虫害防治等方面总结金红杨育苗的管理技术.	金红杨_扦插_嫁接_管理	园艺学	农学
冷面结霜微细观特性的实验研究	本文在不同工况下,对竖直和水平放置的裸铝面及疏水面结霜微细观过程进行了实验研究.对冷面上过冷水珠的存续时间、冻结粒径及其影响因素进行了讨论,并将裸铝面和疏水面结霜特性进行了对比,探讨了表面湿润性(如接触角等)及冷面方位(水平和竖直)等对结霜过程的影响.	结霜_微细观测_疏水_竖直表面	动力工程及工程热物理	工学
基于电力系统通用服务协议的远方程序化操作功能实现方法研究	电网调度控制系统实现安全可靠的一次设备远方程序化操作是目前国家电网公司智能电网发展的技术研究课题之一.对通用服务协议在远方程序化操作中的应用进行深入研究,从电力系统通用服务协议规范和主-子站程序化操作流程方面入手,研究了通用服务协议在远方程序化操作中的交互服务过程、服务接口与应用实现方法.该实现方法已经在实际工程应用中取得了良好的效果.	通用服务协议_远方程序化操作_服务接口_远动系统	电气工程	工学
城市马拉松赛文化特点的研究	运用个案分析法剖析城市马拉松赛的文化特点。主要结论：马拉松赛由于其独特的文化特点成为城市首选赛事并迅速发展，城市马拉松具有集中展示性、广泛参与性、同场竞技性、高度整合性、开放合作性和社会文化融合性六个文化特点，随着我国城市马拉松赛事的增加，如何利用其文化特点宣传城市、打造城市名片是城市马拉松赛创新发展的路径之一。	体育管理_体育文化_城市马拉松赛_文化特点	体育学	教育学
“触觉”与“视觉”——在“艺术意志”规律中探讨古罗马与汉代艺术的差异	“艺术意志”概念揭示了形式的某种自律性原则,为中西方艺术比较研究提供了重要视角.古罗马艺术是西方古典主义形式的典范,而两汉时期则被认为是中国原生艺术体系的成熟阶段.从“艺术意志”的观看与表达两个维度,可以分析古罗马和汉代艺术在形式上差异与对立的内在原因,从而进一步认识中西方艺术的不同演进方式.	艺术风格_艺术创作_艺术形式_古罗马_汉代_艺术意志_艺术比较	艺术学	艺术学
信息工程监理单位的风险分析及防范	阐述信息工程监理的概念及其特点,分析了信息工程监理单位存在的各种风险,并结合建筑工程监理的理论与方法,同时借鉴国外相关行业的经验,提出了信息工程监理单位应采取的风险防范措施,对规范提升信息工程监理单位的运行能力与质量有一定启发.	信息工程监理单位_风险_防范	工商管理	管理学
解读贞观盛世的和谐道德生活	在鸦片战争以前的中国社会中,“大一统”基础上的盛世是中华民族的共同理想,贞观盛世是这种理想的最切近的实现.史论结合地看,唐初实现这盛世的实践经验主要可归结于君臣和谐、官民和谐以及民族和谐的三大和谐道德生活.君臣和谐具体地呈现为君臣职权和谐、君臣话语权和谐、君臣关系和谐.官民和谐具体呈现为亲民利民和限制特权两个维度.民族和谐可以被理解为官民和谐的特殊情形,三大和谐共同构成了贞观盛世的和谐道德生活.	贞观盛世_和谐_道德生活	哲学	哲学
